iter	Passed	Remaining
0	1	106
1	2	98
2	3	106
3	4	99
4	5	101
5	6	98
6	7	99
7	13	154
8	15	152
9	16	147
10	17	140
11	18	134
12	19	128
13	20	123
14	21	120
15	22	116
16	25	123
17	26	121
18	27	118
19	28	114
20	29	110
21	30	107
22	31	104
23	32	101
24	33	99
25	33	96
26	34	94
27	39	101
28	40	99
29	41	96
30	42	94
31	43	91
32	44	90
33	45	88
34	46	86
35	47	83
36	48	81
37	48	79
38	49	77
39	51	76
40	52	75
41	52	72
42	53	71
43	57	73
44	59	72
45	101	118
46	102	116
47	104	113
48	106	110
49	107	107
50	112	108
51	113	104
52	118	105
53	119	101
54	120	98
55	121	95
56	122	92
57	123	89
58	124	86
59	126	84
60	127	81
61	128	78
62	131	77
63	133	74
64	134	72
65	165	85
66	166	82
67	167	79
68	169	75
69	170	72
70	171	69
71	172	67
72	174	64
73	175	61
74	176	58
75	178	56
76	180	53
77	181	51
78	183	48
79	184	46
80	186	43
81	187	41
82	190	38
83	191	36
84	195	34
85	196	32
86	199	29
87	232	31
88	234	28
89	235	26
90	237	23
91	239	20
92	242	18
93	244	15
94	245	12
95	246	10
96	248	7
97	249	5
98	251	2
99	253	0
